Stadium,Seating Capacity,Region,Country,City,Image,Home Teams,Latitude,Longitude
Rajamangala National Stadium ,51552,Southeast Asia,Thailand,Bangkok,,Thailand national football team,13.7524938,100.4935089
Donbass Arena,51504,Europe,Ukraine,Donetsk,,,48.0158753,37.8013407
Estadio Presidente Juan Domingo Perón,51389,South America,Argentina,Avellaneda,,Racing Club de Avellaneda,-34.6648394,-58.3628061
İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,,"Altay SK, Göztepe AŞ",38.4237433,27.1428019
Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,,Feyenoord,51.9244424,4.47775
Estadio BBVA,51000,North America,Mexico,Monterrey,,CF Monterrey,25.6802019,-100.315258
Ghadir Stadium,51000,West Asia,Iran,Ahvaz,,Foolad FC,31.3230637,48.67932
Estádio José Pinheiro Borda,50942,South America,Brazil,Porto Alegre. Rio Grande do Sul,,SC Internacional,-30.0324999,-51.2303767
Ibrox Stadium,50817,Europe,Scotland,Glasgow,,Rangers FC,55.861155,-4.2501687
Shizuoka Stadium,50889,East Asia,Japan,"Fukuroi, Shizuoka",,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs",34.7500522,137.9258871
Ernst-Happel-Stadion ,50865,Europe,Austria,Vienna,,Austria national football team,48.2083537,16.3725042
Huntington Bank Stadium,50805,North America,United States,Minneapolis,,Minnesota Golden Gophers football,44.9772995,-93.2654692
Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,,Puebla FC,18.833333,-98.0
Friends Arena ,50653,Europe,Sweden,Solna,,"Sweden men's national football team, AIK Fotboll",59.361367,18.0013693
Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,,Fenerbahçe,41.006381,28.9758715
Stanford Stadium,50424,North America,United States,"Palo Alto, California",,,37.4443293,-122.1598465
Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,,Lille OSC,50.6193174,3.1314002
Stade Roi Baudouin ,50122,Europe,Belgium,Brussels,,Belgium national football team,50.8550018,4.3512333761166175
Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",,,34.261004,108.9423363
Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo",,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo",35.660036,139.554815
Estádio José Alvalade,50095,Europe,Portugal,Lisbon,,Sporting CP,38.7077507,-9.1365919
Estádio do Dragão,50033,Europe,Portugal,Porto,,FC Porto,41.1494512,-8.6107884
Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",,EC Bahia,-12.9822499,-38.4812772
Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,,Étoile du Sahel,35.8288175,10.6405392
RheinEnergieSTADION,50000,Europe,Germany,Cologne,,1. FC Köln,50.938361,6.959974
Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",,,45.7593633,126.6276177
Greenfield International Stadium,50000,South Asia,India,Trivandrum,,,8.4882267,76.947551
EMS Stadium,50000,South Asia,India,Kozhikode,,"India national football team, Gokulam Kerala FC",11.2450558,75.7754716
KD Singh Babu Stadium,50000,South Asia,India,Lucknow,,,26.8381,80.9346001
Eden Park ,50000,Oceania,New Zealand,Auckland,,"Auckland Blues, New Zealand Warriors",-36.852095,174.7631803
Estádio 11 de Novembro ,50000,Africa,Angola,Luanda,,"Angola national football team, Primeiro de Agosto, Petro Luanda",-8.8272699,13.2439512
Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",,,34.7533392,113.6599983
Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",,,28.687547,115.8540042
Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,,1. FC Nürnberg,49.453872,11.077298
June 11 Stadium ,50000,Africa,Libya,Tripoli,,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC",32.896672,13.1777923
Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",,,43.419754,87.319461
Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,,Pyongyang City Sports Club,39.0167979,125.7473609
EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,,Sanfrecce Hiroshima,34.3917241,132.4517589
Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,,Fajr Sepasi Shiraz FC,29.6060218,52.5378041
Stade du 26 mars ,50000,Africa,Mali,Bamako,,Stade Malien,12.649319,-8.000337
Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,,Senegal national football team,14.693425,-17.447938
Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,,Terengganu FA,5.3296461,103.1383265
Estadio Akron,49850,North America,Mexico,Guadalajara,,C.D. Guadalajara,20.6720375,-103.338396
Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,,Zesco United,-15.4163395,28.2818414
Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,,1. FC Kaiserslautern,49.4432174,7.7689951
Estadio José Amalfitani,49540,South America,Argentina,Buenos Aires,,CA Vélez Sársfield,-34.6073387,-58.4432852
Camille Chamoun Sports City Stadium ,49500,West Asia,Lebanon,Beirut,,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC",33.8959203,35.47843
Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",,Vegalta Sendai,38.3301406,140.9753442
Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,,,37.456,126.7052
Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,,Hannover 96,52.3744779,9.7385532
Parc des Princes,48712,Europe,France,Paris,,Paris Saint-Germain,48.8534951,2.3483915
Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",,Sunderland AFC,54.8926307,-1.4102433840969901
Estadio Nacional ,48665,South America,Chile,Santiago,,"Chile national football team, CF Universidad de Chile",-33.4377756,-70.6504502
Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",,Chippa United FC,-33.9618359,25.6186512
Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,,CA Huracán,-34.6073387,-58.4432852
Jinnah Sports Stadium ,48200,South Asia,Pakistan,Islamabad,,Pakistan national football team,33.6938118,73.0651511
Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,,Club Atlético Independiente,-34.6648394,-58.3628061
Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State",,"Bloemfontein Celtic, Toyota Cheetahs",-29.116395,26.215496
Nagai Stadium,47816,East Asia,Japan,Osaka,,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka",34.7021912,135.4955866
Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",,Corinthians,-23.5506507,-46.6333824
Rogers Centre,47568,North America,Canada,"Toronto, Ontario",,"Toronto FC, Toronto Argonauts",43.6534817,-79.3839347
